Zip Code,GEO_ID,NAME,B11002I_001E,B11002I_001M,B11002I_002E,B11002I_002M,B11002I_003E,B11002I_003M,B11002I_004E,B11002I_004M,B11002I_005E,B11002I_005M,B11002I_006E,B11002I_006M,B11002I_007E,B11002I_007M,B11002I_008E,B11002I_008M,B11002I_009E,B11002I_009M,B11002I_010E,B11002I_010M,B11002I_011E,B11002I_011M,B11002I_012E,B11002I_012M
60617,8600000US60617,60617,30332.0,1664.0,27823.0,1622.0,18643.0,1489.0,18592.0,1491.0,51.0,60.0,2194.0,670.0,1907.0,575.0,287.0,147.0,6986.0,929.0,6615.0,866.0,371.0,131.0,2509.0,410.0
60618,8600000US60618,60618,36995.0,2392.0,32558.0,2370.0,21754.0,2135.0,21447.0,2087.0,307.0,173.0,4136.0,886.0,3465.0,765.0,671.0,228.0,6668.0,1140.0,6309.0,1081.0,359.0,126.0,4437.0,643.0
60619,8600000US60619,60619,416.0,167.0,257.0,133.0,179.0,112.0,179.0,112.0,0.0,26.0,0.0,26.0,0.0,26.0,0.0,26.0,78.0,74.0,78.0,74.0,0.0,26.0,159.0,105.0
60620,8600000US60620,60620,610.0,250.0,476.0,240.0,242.0,139.0,242.0,139.0,0.0,26.0,131.0,155.0,110.0,131.0,21.0,24.0,103.0,85.0,103.0,85.0,0.0,26.0,134.0,84.0
60621,8600000US60621,60621,925.0,424.0,850.0,420.0,272.0,252.0,272.0,252.0,0.0,20.0,108.0,126.0,97.0,111.0,11.0,18.0,470.0,343.0,430.0,307.0,40.0,46.0,75.0,61.0
60622,8600000US60622,60622,11092.0,1135.0,7764.0,1075.0,3620.0,732.0,3585.0,735.0,35.0,32.0,872.0,317.0,817.0,303.0,55.0,34.0,3272.0,772.0,3055.0,729.0,217.0,125.0,3328.0,521.0
60623,8600000US60623,60623,56254.0,2081.0,51717.0,2314.0,28964.0,2097.0,28597.0,2023.0,367.0,171.0,7563.0,1393.0,6515.0,1179.0,1048.0,272.0,15190.0,1760.0,14124.0,1612.0,1066.0,264.0,4537.0,672.0
60624,8600000US60624,60624,1880.0,713.0,1570.0,721.0,1075.0,649.0,1030.0,609.0,45.0,62.0,68.0,75.0,66.0,72.0,2.0,6.0,427.0,262.0,427.0,262.0,0.0,23.0,310.0,176.0
60625,8600000US60625,60625,24198.0,1857.0,20808.0,1555.0,12605.0,1378.0,12548.0,1382.0,57.0,55.0,4070.0,1027.0,3456.0,864.0,614.0,252.0,4133.0,841.0,3779.0,757.0,354.0,153.0,3390.0,890.0
60626,8600000US60626,60626,9654.0,1235.0,7330.0,1075.0,5054.0,909.0,5016.0,904.0,38.0,39.0,1261.0,674.0,1068.0,591.0,193.0,127.0,1015.0,436.0,1002.0,436.0,13.0,19.0,2324.0,636.0
60628,8600000US60628,60628,2128.0,333.0,1933.0,341.0,1249.0,296.0,1249.0,296.0,0.0,26.0,197.0,170.0,183.0,166.0,14.0,20.0,487.0,225.0,462.0,218.0,25.0,27.0,195.0,79.0
60629,8600000US60629,60629,79476.0,2575.0,75790.0,2760.0,51716.0,2937.0,51157.0,2925.0,559.0,196.0,10095.0,1612.0,8150.0,1337.0,1945.0,508.0,13979.0,1672.0,13148.0,1560.0,831.0,252.0,3686.0,608.0
60630,8600000US60630,60630,14943.0,1488.0,13596.0,1540.0,9258.0,1165.0,9164.0,1130.0,94.0,90.0,923.0,535.0,850.0,481.0,73.0,82.0,3415.0,789.0,3204.0,743.0,211.0,113.0,1347.0,324.0
60631,8600000US60631,60631,2338.0,392.0,2134.0,399.0,1801.0,437.0,1801.0,437.0,0.0,20.0,115.0,139.0,115.0,139.0,0.0,20.0,218.0,181.0,218.0,181.0,0.0,20.0,204.0,130.0
60632,8600000US60632,60632,75768.0,2477.0,71484.0,2568.0,48293.0,2581.0,47628.0,2534.0,665.0,231.0,9421.0,1248.0,8246.0,1069.0,1175.0,254.0,13770.0,1509.0,12793.0,1440.0,977.0,238.0,4284.0,588.0
60633,8600000US60633,60633,5547.0,1176.0,5058.0,1167.0,3668.0,1196.0,3668.0,1196.0,0.0,17.0,376.0,280.0,350.0,271.0,26.0,23.0,1014.0,474.0,940.0,425.0,74.0,73.0,489.0,183.0
60634,8600000US60634,60634,27781.0,1781.0,26157.0,1844.0,17105.0,1590.0,16860.0,1571.0,245.0,145.0,3568.0,910.0,3266.0,855.0,302.0,147.0,5484.0,1029.0,4919.0,873.0,565.0,330.0,1624.0,310.0
60636,8600000US60636,60636,2456.0,540.0,2242.0,523.0,1634.0,466.0,1600.0,452.0,34.0,33.0,285.0,138.0,219.0,110.0,66.0,54.0,323.0,230.0,310.0,223.0,13.0,19.0,214.0,91.0
60637,8600000US60637,60637,835.0,250.0,402.0,207.0,300.0,186.0,300.0,186.0,0.0,23.0,66.0,84.0,54.0,66.0,12.0,19.0,36.0,39.0,36.0,39.0,0.0,23.0,433.0,143.0
60638,8600000US60638,60638,28835.0,2014.0,27407.0,1949.0,20023.0,1743.0,19936.0,1729.0,87.0,72.0,3380.0,1099.0,2881.0,1009.0,499.0,183.0,4004.0,756.0,3751.0,710.0,253.0,146.0,1428.0,292.0
60639,8600000US60639,60639,70278.0,2323.0,65807.0,2468.0,39952.0,2098.0,39015.0,2060.0,937.0,431.0,9072.0,1446.0,7858.0,1262.0,1214.0,350.0,16783.0,2066.0,15972.0,1970.0,811.0,197.0,4471.0,646.0
60640,8600000US60640,60640,9124.0,1123.0,6921.0,1141.0,3202.0,731.0,3109.0,706.0,93.0,86.0,1925.0,661.0,1817.0,634.0,108.0,119.0,1794.0,765.0,1684.0,710.0,110.0,97.0,2203.0,432.0
60641,8600000US60641,60641,37041.0,1701.0,34207.0,1760.0,22274.0,1493.0,21748.0,1490.0,526.0,202.0,3646.0,885.0,3303.0,769.0,343.0,171.0,8287.0,1106.0,7773.0,1049.0,514.0,165.0,2834.0,389.0
60642,8600000US60642,60642,3505.0,767.0,2828.0,753.0,1371.0,488.0,1371.0,488.0,0.0,20.0,277.0,192.0,237.0,167.0,40.0,39.0,1180.0,672.0,1175.0,664.0,5.0,18.0,677.0,177.0
60643,8600000US60643,60643,1346.0,537.0,1181.0,532.0,784.0,365.0,772.0,358.0,12.0,21.0,23.0,34.0,23.0,34.0,0.0,23.0,374.0,363.0,374.0,363.0,0.0,23.0,165.0,84.0
60644,8600000US60644,60644,2616.0,589.0,2345.0,582.0,1277.0,559.0,1277.0,559.0,0.0,23.0,506.0,278.0,438.0,243.0,68.0,59.0,562.0,328.0,555.0,327.0,7.0,10.0,271.0,168.0
60645,8600000US60645,60645,7621.0,1161.0,7140.0,1174.0,3815.0,911.0,3763.0,891.0,52.0,53.0,1600.0,723.0,1344.0,604.0,256.0,144.0,1725.0,914.0,1571.0,845.0,154.0,153.0,481.0,175.0
60646,8600000US60646,60646,3414.0,823.0,3317.0,806.0,2063.0,607.0,2063.0,607.0,0.0,20.0,376.0,343.0,269.0,247.0,107.0,139.0,878.0,560.0,836.0,551.0,42.0,46.0,97.0,60.0
60647,8600000US60647,60647,38193.0,1631.0,32698.0,1543.0,17724.0,1462.0,17488.0,1441.0,236.0,104.0,4194.0,685.0,3817.0,623.0,377.0,117.0,10780.0,1005.0,10316.0,963.0,464.0,127.0,5495.0,550.0
60649,8600000US60649,60649,997.0,562.0,829.0,561.0,322.0,269.0,322.0,269.0,0.0,23.0,0.0,23.0,0.0,23.0,0.0,23.0,507.0,483.0,431.0,368.0,76.0,123.0,168.0,81.0
60651,8600000US60651,60651,26748.0,2186.0,24816.0,2162.0,15154.0,2170.0,14829.0,2111.0,325.0,191.0,2172.0,763.0,1949.0,712.0,223.0,118.0,7490.0,1415.0,7140.0,1373.0,350.0,149.0,1932.0,360.0
60652,8600000US60652,60652,17156.0,1007.0,16837.0,1027.0,12501.0,1211.0,12439.0,1198.0,62.0,56.0,2362.0,699.0,2144.0,637.0,218.0,98.0,1974.0,680.0,1848.0,640.0,126.0,87.0,319.0,141.0
60653,8600000US60653,60653,672.0,227.0,514.0,205.0,177.0,99.0,177.0,99.0,0.0,23.0,38.0,39.0,38.0,39.0,0.0,23.0,299.0,195.0,255.0,161.0,44.0,69.0,158.0,89.0
60654,8600000US60654,60654,669.0,216.0,239.0,153.0,239.0,153.0,239.0,153.0,0.0,17.0,0.0,17.0,0.0,17.0,0.0,17.0,0.0,17.0,0.0,17.0,0.0,17.0,430.0,159.0
60655,8600000US60655,60655,1795.0,475.0,1591.0,462.0,1495.0,456.0,1495.0,456.0,0.0,20.0,18.0,26.0,18.0,26.0,0.0,20.0,78.0,70.0,78.0,70.0,0.0,20.0,204.0,97.0
60656,8600000US60656,60656,2964.0,540.0,2311.0,505.0,1519.0,431.0,1519.0,431.0,0.0,20.0,335.0,315.0,284.0,281.0,51.0,56.0,457.0,326.0,444.0,316.0,13.0,20.0,653.0,183.0
60657,8600000US60657,60657,4486.0,712.0,1998.0,545.0,1808.0,517.0,1808.0,517.0,0.0,26.0,65.0,78.0,56.0,65.0,9.0,19.0,125.0,82.0,116.0,78.0,9.0,12.0,2488.0,458.0
60659,8600000US60659,60659,7204.0,1375.0,5984.0,1398.0,4207.0,1243.0,4194.0,1243.0,13.0,21.0,671.0,466.0,671.0,466.0,0.0,23.0,1106.0,439.0,1057.0,420.0,49.0,41.0,1220.0,506.0
60660,8600000US60660,60660,6896.0,904.0,5336.0,910.0,2440.0,670.0,2440.0,670.0,0.0,23.0,1096.0,544.0,971.0,465.0,125.0,109.0,1800.0,489.0,1689.0,460.0,111.0,66.0,1560.0,350.0
60661,8600000US60661,60661,614.0,304.0,230.0,191.0,170.0,142.0,170.0,142.0,0.0,15.0,0.0,15.0,0.0,15.0,0.0,15.0,60.0,100.0,44.0,73.0,16.0,28.0,384.0,193.0
60666,,,,,,,,,,,,,,,,,,,,,,,,,,
60707,8600000US60707,60707,16002.0,1319.0,14666.0,1343.0,8998.0,1351.0,8983.0,1348.0,15.0,25.0,1625.0,718.0,1498.0,675.0,127.0,85.0,4043.0,1108.0,3851.0,1076.0,192.0,100.0,1336.0,302.0
60827,8600000US60827,60827,1096.0,545.0,1042.0,542.0,398.0,306.0,398.0,306.0,0.0,20.0,276.0,442.0,239.0,384.0,37.0,58.0,368.0,290.0,368.0,290.0,0.0,20.0,54.0,45.0
